timestamp,cpu_usr,cpu_sys,cpu_idl,cpu_wai,memory_percent,memory_used_mb,memory_available_mb,disk_read_per_sec,disk_write_per_sec,net_send_per_sec,net_recv_per_sec,load1,load5,load15,active_sessions,active_requests,idle_sessions,total_locks,venta_locks,kardex_locks,movimiento_caja_locks,transactions_per_sec,total_reads,total_writes,page_life_expectancy,api_status,api_latency_ms,products_count,events_batch_count,events_lock_count,duration_max_ms,duration_avg_ms,query_duration_max_ms,query_duration_avg_ms,cpu_time_sum_ms,distinct_sessions_count,cpu_total,query_count,lock_event_count,requests_per_session,log_error_count,run_name,experiment_id,es_carga_normal
2026-09-04 05:01:46,0.0,0.0,0.0,0.0,48.4,1896.0,2020.0,0.0,0.0,185829.0,530004.0,2.48,2.65,1.29,29.0,17.0,27.0,13.0,0.0,0.0,0.0,0,0,0,654.0,200.0,28.0,672.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.5862068965517241,3,carga1,exp_01,1
2026-09-04 05:01:57,34.9,13.6,42.9,0.3,49.2,1925.0,1991.0,55082.0,10162894.0,9442.0,49222.0,3.52,2.86,1.37,29.0,17.0,27.0,13.0,0.0,0.0,0.0,129.47,0.0909090909090909,2.909090909090909,665.0,200.0,1841.0,672.0,3,15,5113.0,1736.0,5113.0,1736.0,102.0,2,48.5,3,15,0.5862068965517241,0,carga1,exp_01,1
2026-09-04 05:02:09,46.9,17.0,28.5,0.1,49.8,1950.0,1967.0,26596.0,3365452.0,7745.0,374634.0,5.09,3.21,1.5,29.0,16.0,26.0,13.0,0.0,0.0,0.0,176.65,0.0,2.0,677.0,0.0,5007.0,0.0,2,0,5035.0,2521.5,5035.0,2521.5,0.0,1,63.9,2,0,0.5517241379310345,0,carga1,exp_01,1
2026-09-04 05:02:24,46.0,17.8,28.3,0.1,50.1,1964.0,1952.0,38580.0,3073160.0,4374.0,88870.0,5.29,3.35,1.57,30.0,18.0,27.0,33.0,0.0,0.0,0.0,172.5,0.0,0.8666666666666667,692.0,0.0,5004.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,63.8,0,0,0.6,0,carga1,exp_01,1
2026-09-04 05:02:39,46.4,16.9,28.7,0.2,50.6,1982.0,1934.0,63714.0,3951585.0,3656.0,22209.0,6.72,3.8,1.76,29.0,16.0,28.0,13.0,0.0,0.0,0.0,141.24,0.0,0.9333333333333332,707.0,0.0,5007.0,0.0,1,8,9.0,9.0,9.0,9.0,1.0,1,63.3,1,8,0.5517241379310345,0,carga1,exp_01,1
2026-09-04 05:02:54,44.8,17.0,30.2,0.0,50.9,1995.0,1921.0,138038.0,3265997.0,3731.0,22161.0,7.38,4.09,1.89,29.0,16.0,28.0,13.0,0.0,0.0,0.0,107.16,0.0,0.6666666666666666,722.0,0.0,5007.0,0.0,3,0,5035.0,1795.0,5035.0,1795.0,134.0,2,61.8,3,0,0.5517241379310345,0,carga1,exp_01,1
2026-09-04 05:03:09,46.0,16.9,29.1,0.1,51.3,2008.0,1908.0,119324.0,4939540.0,3586.0,19120.0,8.42,4.47,2.05,30.0,17.0,29.0,13.0,0.0,0.0,0.0,115.14,0.0,0.8,737.0,0.0,5006.0,0.0,3,0,5370.0,3468.0,5370.0,3468.0,134.0,2,62.9,3,0,0.5666666666666667,0,carga1,exp_01,1
2026-09-04 05:03:25,46.0,17.2,29.2,0.1,52.1,2040.0,1876.0,263493.0,4434827.0,3917.0,27529.0,8.04,4.58,2.13,29.0,16.0,27.0,13.0,0.0,0.0,0.0,227.53,0.0,2.0625,753.0,0.0,5006.0,0.0,2,8,5270.0,2751.0,5270.0,2751.0,262.0,1,63.2,2,8,0.5517241379310345,0,carga1,exp_01,1
2026-09-04 05:03:40,45.9,17.0,29.0,0.1,52.5,2055.0,1861.0,110958.0,5284151.0,3590.0,21489.0,8.33,4.82,2.24,29.0,16.0,27.0,13.0,0.0,0.0,0.0,137.29,0.0666666666666666,0.5333333333333333,768.0,0.0,5004.0,0.0,2,1,5048.0,2528.0,5048.0,2528.0,0.0,1,62.9,2,1,0.5517241379310345,0,carga1,exp_01,1
2026-09-04 05:03:55,46.5,16.6,28.7,0.3,52.6,2062.0,1855.0,267515.0,3405302.0,3773.0,19325.0,8.95,5.13,2.39,25.0,12.0,24.0,13.0,0.0,0.0,0.0,139.36,0.4,14.866666666666667,783.0,0.0,5005.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,63.1,0,1,0.48,0,carga1,exp_01,1
